代码	名称	当前净值	一年前净值	一年增长率	两年前净值	两年增长率	三年前净值	三年增长率	四年前净值	四年增长率
42	中证财通可持续发展100指数A	1.7943	1.355	32%	1.4703	22%	1.7322	4%	1.438	25%
57	中银消费主题混合	2.254	1.525	48%	1.181	91%	1.592	42%	1.302	73%
